sample_id,split,subject_id,dest_image,dest_label,source_dataset,source_path,provenance,pixel_sha256,n_boxes,class_ids,is_negative
legacy_raw_synthetic_wound__syn_wound_0213,train,drawing:raw_synthetic_wound__syn_wound_0213,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0213.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0213.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0213.jpg,SYNTHETIC,921f43a5959736f3c052af0ada0c277d465a1d805e64fd2a7747f677055c86f3,1,0,0
legacy_raw_synthetic_wound__syn_wound_0216,test,drawing:raw_synthetic_wound__syn_wound_0216,data/datasets/yolo_real_skin_v2/images/test/legacy_raw_synthetic_wound__syn_wound_0216.jpg,data/datasets/yolo_real_skin_v2/labels/test/legacy_raw_synthetic_wound__syn_wound_0216.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0216.jpg,SYNTHETIC,f5dfdeaf11980dbe2ab8c21db482087de465c06b73adf5211068993ca2896442,1,1,0
legacy_raw_synthetic_wound__syn_wound_0218,train,drawing:raw_synthetic_wound__syn_wound_0218,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0218.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0218.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0218.jpg,SYNTHETIC,af89df1907e354b95de0c09fc268ce623ab011305f4e80fd0217a3cfb264d4a5,1,1,0
legacy_raw_synthetic_wound__syn_wound_0219,train,drawing:raw_synthetic_wound__syn_wound_0219,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0219.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0219.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0219.jpg,SYNTHETIC,18f3c9bf3a4661ae7f556170b85aae83221e79d5881a1384647021b520250941,1,1,0
legacy_raw_synthetic_wound__syn_wound_0001,test,drawing:raw_synthetic_wound__syn_wound_0001,data/datasets/yolo_real_skin_v2/images/test/legacy_raw_synthetic_wound__syn_wound_0001.jpg,data/datasets/yolo_real_skin_v2/labels/test/legacy_raw_synthetic_wound__syn_wound_0001.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0001.jpg,SYNTHETIC,bd773b45fe4e5c167863263c66a45d2eab6ca9a64eb7420a64837c2ee3e7fd51,1,1,0
legacy_raw_synthetic_wound__syn_wound_0004,train,drawing:raw_synthetic_wound__syn_wound_0004,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0004.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0004.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0004.jpg,SYNTHETIC,c33141291e1768f503b9e2fe7a06b48cf14e8e562b599ec2a7186d7facfc0d4c,1,0,0
legacy_raw_synthetic_wound__syn_wound_0005,train,drawing:raw_synthetic_wound__syn_wound_0005,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0005.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0005.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0005.jpg,SYNTHETIC,fe3afd7ec0b85042da1c11f2985f1f6fcbd99851aea29c6e872819db08dab1ed,1,1,0
legacy_raw_synthetic_wound__syn_wound_0006,val,drawing:raw_synthetic_wound__syn_wound_0006,data/datasets/yolo_real_skin_v2/images/val/legacy_raw_synthetic_wound__syn_wound_0006.jpg,data/datasets/yolo_real_skin_v2/labels/val/legacy_raw_synthetic_wound__syn_wound_0006.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0006.jpg,SYNTHETIC,277714de5ed0995331109d02b7eb27a9f8a2a9ced8943590c1de89fbaa0a49e0,1,0,0
legacy_raw_synthetic_wound__syn_wound_0007,train,drawing:raw_synthetic_wound__syn_wound_0007,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0007.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0007.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0007.jpg,SYNTHETIC,6a909cf3749b2d12ef8cc7083d708811e978cf3fd78d380a940f9be622ddd58d,1,1,0
legacy_raw_synthetic_wound__syn_wound_0008,test,drawing:raw_synthetic_wound__syn_wound_0008,data/datasets/yolo_real_skin_v2/images/test/legacy_raw_synthetic_wound__syn_wound_0008.jpg,data/datasets/yolo_real_skin_v2/labels/test/legacy_raw_synthetic_wound__syn_wound_0008.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0008.jpg,SYNTHETIC,ff7af743d0632bfc6b83e790379c882ce5a7882dcb4aa927f4d70b907284912e,1,1,0
legacy_raw_synthetic_wound__syn_wound_0011,train,drawing:raw_synthetic_wound__syn_wound_0011,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0011.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0011.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0011.jpg,SYNTHETIC,a6400be4ade86ca20dcb216fb118facb0aaffa1f41e9a6117936661225551eba,1,0,0
legacy_raw_synthetic_wound__syn_wound_0012,val,drawing:raw_synthetic_wound__syn_wound_0012,data/datasets/yolo_real_skin_v2/images/val/legacy_raw_synthetic_wound__syn_wound_0012.jpg,data/datasets/yolo_real_skin_v2/labels/val/legacy_raw_synthetic_wound__syn_wound_0012.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0012.jpg,SYNTHETIC,9b6ccf23860a926d4babfa9d1c9e20c120d96bf9581d4acbf816c21eea1a155f,1,1,0
legacy_raw_synthetic_wound__syn_wound_0016,train,drawing:raw_synthetic_wound__syn_wound_0016,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0016.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0016.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0016.jpg,SYNTHETIC,918c8a0fca7f51b149be09ffa4632d0543e88ea7c9a0ceeab3e97240fdd6251c,1,0,0
legacy_raw_synthetic_wound__syn_wound_0017,train,drawing:raw_synthetic_wound__syn_wound_0017,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0017.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0017.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0017.jpg,SYNTHETIC,35778770cbee75a6e9f64bd9087296679d3b6611d2e2d02100c7cd38c6ddcf38,1,1,0
legacy_raw_synthetic_wound__syn_wound_0018,train,drawing:raw_synthetic_wound__syn_wound_0018,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0018.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0018.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0018.jpg,SYNTHETIC,f7602ae01c1b22d3bc57bb83551d56c36744362e6268c75aaae745c604ddc529,1,0,0
legacy_raw_synthetic_wound__syn_wound_0020,train,drawing:raw_synthetic_wound__syn_wound_0020,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0020.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0020.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0020.jpg,SYNTHETIC,19957e89f860be0290b3f789883c1c4357936a6cff62e45d5b39b2772fd13a60,1,1,0
legacy_raw_synthetic_wound__syn_wound_0023,train,drawing:raw_synthetic_wound__syn_wound_0023,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0023.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0023.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0023.jpg,SYNTHETIC,dca6bf88146600b7120b7828b22e574b4e3bebe247d4b2e0ab99a4622160a3c8,1,1,0
legacy_raw_synthetic_wound__syn_wound_0024,train,drawing:raw_synthetic_wound__syn_wound_0024,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0024.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0024.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0024.jpg,SYNTHETIC,a6b8c66b9cae73974d9d2c1af75dc027f3d8cea80ae4bf0b8dd4672c49665109,1,0,0
legacy_raw_synthetic_wound__syn_wound_0027,train,drawing:raw_synthetic_wound__syn_wound_0027,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0027.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0027.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0027.jpg,SYNTHETIC,16df5da17808b93118b40c2908dd16bf0da90f202554ac487493d590da015925,1,1,0
legacy_raw_synthetic_wound__syn_wound_0028,train,drawing:raw_synthetic_wound__syn_wound_0028,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0028.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0028.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0028.jpg,SYNTHETIC,bd8ce6389ca27f4250f97bd3075ba91c72c7b578614a4fd39a8cf1433300db56,1,1,0
legacy_raw_synthetic_wound__syn_wound_0029,train,drawing:raw_synthetic_wound__syn_wound_0029,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0029.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0029.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0029.jpg,SYNTHETIC,f46fe43dcbbb30707ae99bc3a025b1c3fee6f3b358cf68a9a2056bbf07b9aebd,1,1,0
legacy_raw_synthetic_wound__syn_wound_0030,train,drawing:raw_synthetic_wound__syn_wound_0030,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0030.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0030.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0030.jpg,SYNTHETIC,db76567577e831aef50b64182ed67873d0d375512cdac752a022b64cea3cefed,1,0,0
legacy_raw_synthetic_wound__syn_wound_0032,train,drawing:raw_synthetic_wound__syn_wound_0032,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0032.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0032.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0032.jpg,SYNTHETIC,40006e9f326e45ce986f68dd916331be2ad81c0d55edce05bd3b764a3a7a8b1b,1,0,0
legacy_raw_synthetic_wound__syn_wound_0033,val,drawing:raw_synthetic_wound__syn_wound_0033,data/datasets/yolo_real_skin_v2/images/val/legacy_raw_synthetic_wound__syn_wound_0033.jpg,data/datasets/yolo_real_skin_v2/labels/val/legacy_raw_synthetic_wound__syn_wound_0033.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0033.jpg,SYNTHETIC,b4c3a1cf3c534e2deaf245133fbc1d5bf9352c481770a1b83b0c5f040ae608ed,1,0,0
legacy_raw_synthetic_wound__syn_wound_0034,train,drawing:raw_synthetic_wound__syn_wound_0034,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0034.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0034.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0034.jpg,SYNTHETIC,ea0a2241645f7b9bc27bae74f12e5b4cc97d39743ef6ffdd091bff7c7c21eb08,1,0,0
legacy_raw_synthetic_wound__syn_wound_0037,train,drawing:raw_synthetic_wound__syn_wound_0037,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0037.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0037.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0037.jpg,SYNTHETIC,c69af37313f44f89e471e11d41d6044f87d5e709773afbc858a3f1d944f05018,1,1,0
legacy_raw_synthetic_wound__syn_wound_0039,val,drawing:raw_synthetic_wound__syn_wound_0039,data/datasets/yolo_real_skin_v2/images/val/legacy_raw_synthetic_wound__syn_wound_0039.jpg,data/datasets/yolo_real_skin_v2/labels/val/legacy_raw_synthetic_wound__syn_wound_0039.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0039.jpg,SYNTHETIC,346865bafda069544c7a637b905f8aeb80efe9a07efe198e42a1e7ac1ea59889,1,1,0
legacy_raw_synthetic_wound__syn_wound_0040,train,drawing:raw_synthetic_wound__syn_wound_0040,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0040.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0040.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0040.jpg,SYNTHETIC,7abb11e040b648f567a123a795214958f3460af1cb3f06257a35b5a345b6b77c,1,0,0
legacy_raw_synthetic_wound__syn_wound_0041,train,drawing:raw_synthetic_wound__syn_wound_0041,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0041.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0041.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0041.jpg,SYNTHETIC,093bb23e43ddc222e755c2592bdfc2389d7bf19b519bad7849275fc4e569e94a,1,1,0
legacy_raw_synthetic_wound__syn_wound_0042,train,drawing:raw_synthetic_wound__syn_wound_0042,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0042.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0042.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0042.jpg,SYNTHETIC,a845612d7a2e5ac1eec18850b235c1aaa6c1d03faf8bfee8c6b737c14debdb9c,1,0,0
legacy_raw_synthetic_wound__syn_wound_0045,train,drawing:raw_synthetic_wound__syn_wound_0045,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0045.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0045.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0045.jpg,SYNTHETIC,4eb74202bef0faa479a89b7ddd30f862db238f634b5a2b3763a8b5337ab12f76,1,0,0
legacy_raw_synthetic_wound__syn_wound_0047,train,drawing:raw_synthetic_wound__syn_wound_0047,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0047.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0047.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0047.jpg,SYNTHETIC,cdab64279e5fa18e04a1f9845c3250d4c3e0bb753cc8073ff24d8c91d7df2763,1,1,0
legacy_raw_synthetic_wound__syn_wound_0048,train,drawing:raw_synthetic_wound__syn_wound_0048,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0048.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0048.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0048.jpg,SYNTHETIC,3922926f3a0b316189fa30699b23435fa0cd087dfe8b215dc75d6ff9026c6ab5,1,0,0
legacy_raw_synthetic_wound__syn_wound_0049,train,drawing:raw_synthetic_wound__syn_wound_0049,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0049.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0049.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0049.jpg,SYNTHETIC,6439e844b70b87e92aac70808abde5d7423dcc276fb13032f8eaceb72fd9874c,1,0,0
legacy_raw_synthetic_wound__syn_wound_0053,train,drawing:raw_synthetic_wound__syn_wound_0053,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0053.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0053.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0053.jpg,SYNTHETIC,5d4473b7d1ad336dd11a142a0a49dc573d3624780947a8c55b4083bbb7953c4e,1,0,0
legacy_raw_synthetic_wound__syn_wound_0054,test,drawing:raw_synthetic_wound__syn_wound_0054,data/datasets/yolo_real_skin_v2/images/test/legacy_raw_synthetic_wound__syn_wound_0054.jpg,data/datasets/yolo_real_skin_v2/labels/test/legacy_raw_synthetic_wound__syn_wound_0054.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0054.jpg,SYNTHETIC,25b6df0cfce239fd22204a3440f3e71f329cf507f4f0795b7846f402eac224be,1,0,0
legacy_raw_synthetic_wound__syn_wound_0059,train,drawing:raw_synthetic_wound__syn_wound_0059,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0059.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0059.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0059.jpg,SYNTHETIC,10033995ada753b4c339d69eec4116f5a17bc483a333c2f8a32d90377ae83dd6,1,0,0
legacy_raw_synthetic_wound__syn_wound_0062,train,drawing:raw_synthetic_wound__syn_wound_0062,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0062.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0062.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0062.jpg,SYNTHETIC,4c22d3d2478d227ef73c1bd65eb1c9958c52495c2bb1395bf65147716f2067ff,1,0,0
legacy_raw_synthetic_wound__syn_wound_0063,train,drawing:raw_synthetic_wound__syn_wound_0063,data/datasets/yolo_real_skin_v2/images/train/legacy_raw_synthetic_wound__syn_wound_0063.jpg,data/datasets/yolo_real_skin_v2/labels/train/legacy_raw_synthetic_wound__syn_wound_0063.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0063.jpg,SYNTHETIC,11833cf105ff63d90667abac88b336b7ca63930ae2c9db448897440250dd11d2,1,0,0
legacy_raw_synthetic_wound__syn_wound_0064,val,drawing:raw_synthetic_wound__syn_wound_0064,data/datasets/yolo_real_skin_v2/images/val/legacy_raw_synthetic_wound__syn_wound_0064.jpg,data/datasets/yolo_real_skin_v2/labels/val/legacy_raw_synthetic_wound__syn_wound_0064.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0064.jpg,SYNTHETIC,022bb96f713332433b261391cfdde7b74b517dbaa98deae012e20dde67c008a5,1,0,0
