sample_id,split,class,image_path,source_dataset,provenance,pixel_sha256
yolo_raw_synthetic_wound__syn_wound_0067,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0067.png,yolo_processed,SYNTHETIC,6741928fab9af0524d795357d9cdcf2d3f67fbb508ac920ef5e3b465994d8aaf
yolo_raw_synthetic_wound__syn_wound_0069,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0069.png,yolo_processed,SYNTHETIC,247bc40d117f9c8baddff7db4b71e7363769b1a71128fcfd8a96621b5a8534b7
yolo_raw_synthetic_wound__syn_wound_0076,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0076.png,yolo_processed,SYNTHETIC,2aaa1bf11a7792f4b83daf797220e4939155cf5f315bddace7f90d683ef5afff
yolo_raw_synthetic_wound__syn_wound_0077,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0077.png,yolo_processed,SYNTHETIC,9c181d37d616cce531cfd537792ab1dbba6295eaadf022fab7d0a7e85be54e6d
yolo_raw_synthetic_wound__syn_wound_0088,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0088.png,yolo_processed,SYNTHETIC,7ffe369b219dab44c4d46c8bbd1f98a2202c8ee0048c2ffdbd667c9c044c65d1
yolo_raw_synthetic_wound__syn_wound_0091,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0091.png,yolo_processed,SYNTHETIC,37a040cfc0dfd3a4b71ff4c19b4cad54ded0e774c14bc6d7c91bafe7072f9c15
yolo_raw_synthetic_wound__syn_wound_0096,val,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0096.png,yolo_processed,SYNTHETIC,5a0483320ab6d407c420de08428b3ea7e47217c6f3fec1610e80963f28d26b48
yolo_raw_synthetic_wound__syn_wound_0099,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0099.png,yolo_processed,SYNTHETIC,2569f1099024b49c92547cf79fb5777df3a8f8b3210cdbc62abc657c0e8337dd
yolo_raw_synthetic_wound__syn_wound_0108,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0108.png,yolo_processed,SYNTHETIC,24870414d2cca379549bde5de5c314f6cb9255c3a120da4ce4ee3c275d5056d2
yolo_raw_synthetic_wound__syn_wound_0118,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0118.png,yolo_processed,SYNTHETIC,aac5a7919cb7191c71673879464770223866858b001308964d1fc1637c7e2b66
yolo_raw_synthetic_wound__syn_wound_0120,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0120.png,yolo_processed,SYNTHETIC,57095cfc3410f9ca31732d41597d03b6f423403e0b6efe0b7441221af19be614
yolo_raw_synthetic_wound__syn_wound_0130,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0130.png,yolo_processed,SYNTHETIC,b2b7dde77d0fe106dbe0f1599902c53eec0fbbe8b289223a336a34f58864e06e
yolo_raw_synthetic_wound__syn_wound_0136,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0136.png,yolo_processed,SYNTHETIC,3a4dbd65c84938706d553a87537cf75f24225c15233c18caeeaeaa1edd67f44f
yolo_raw_synthetic_wound__syn_wound_0139,val,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0139.png,yolo_processed,SYNTHETIC,6bda740380435dff940f85df47ab52b87b55e3e50c3e76181adab40167e773cf
yolo_raw_synthetic_wound__syn_wound_0142,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0142.png,yolo_processed,SYNTHETIC,558fb82bb3f0cb1a2042f87d968b5274b55e49b2be79c7bf2437319ad4d24014
yolo_raw_synthetic_wound__syn_wound_0146,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0146.png,yolo_processed,SYNTHETIC,2c277b193d76271b446c70e4c7bc475c8d0ddabc1d963313929a13ac2329d95a
yolo_raw_synthetic_wound__syn_wound_0150,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0150.png,yolo_processed,SYNTHETIC,3e46496c35a089cd7476e5cc0b24a7c4611962730bee8962addd19edead54ebd
yolo_raw_synthetic_wound__syn_wound_0153,val,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0153.png,yolo_processed,SYNTHETIC,3f82065f4aeaf52b4dce9bdea5e61219309375d7fa7c2fe9ff90a962910aed1c
yolo_raw_synthetic_wound__syn_wound_0156,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0156.png,yolo_processed,SYNTHETIC,6b3234a8179e25556ca254fe35b994cf13d26b76311590b70b4ae7b4e143f964
yolo_raw_synthetic_wound__syn_wound_0158,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0158.png,yolo_processed,SYNTHETIC,ad450b83253ad13b347826ee915c71ec16bcdf9d8c96cfbadc9087f69ff26e84
yolo_raw_synthetic_wound__syn_wound_0160,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0160.png,yolo_processed,SYNTHETIC,033f34872f2f97517b149bd54cbdfde7afa60f822978aa891bc1f7ebd7bb4faa
yolo_raw_synthetic_wound__syn_wound_0161,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0161.png,yolo_processed,SYNTHETIC,2011dbcdc9edcecd17db6c78f343cf50e4318dacf0f4f66505ed8089bf6f6463
yolo_raw_synthetic_wound__syn_wound_0172,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0172.png,yolo_processed,SYNTHETIC,22844990fd880462094f6b197a46664392044d17433073f250b79ad48063bf75
yolo_raw_synthetic_wound__syn_wound_0181,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0181.png,yolo_processed,SYNTHETIC,55d66d81809ee5dac8e5955d6b5fb1a802e0f086f71f0f59a03fa8ed2094f3fb
yolo_raw_synthetic_wound__syn_wound_0182,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0182.png,yolo_processed,SYNTHETIC,ace1d0125b7e1413b2a57d09858552a8bd829a58061a41b3a0e38fe6ce810c51
yolo_raw_synthetic_wound__syn_wound_0184,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0184.png,yolo_processed,SYNTHETIC,6ac2b3fde5e8225852846d07737e8eb04e037566c73510c2df59018a74bf4582
yolo_raw_synthetic_wound__syn_wound_0185,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0185.png,yolo_processed,SYNTHETIC,6611663f63c8679d808cf3e04ca451a678951e2e3cbd9db31f9e6bc87336144f
yolo_raw_synthetic_wound__syn_wound_0189,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0189.png,yolo_processed,SYNTHETIC,aafe3b2a05de215ba9b83e107dfcef362f108f86712697f3db5058f6be871ced
yolo_raw_synthetic_wound__syn_wound_0195,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0195.png,yolo_processed,SYNTHETIC,713e21fe7a098c0170304502e7289c20ba2547f5a30340140e98f90b56c1a09c
yolo_raw_synthetic_wound__syn_wound_0206,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0206.png,yolo_processed,SYNTHETIC,1d9af1ea5d22032e74242cd1283124ab4b207c203e3b2b2343f25f2b6895e1bc
yolo_raw_synthetic_wound__syn_wound_0207,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0207.png,yolo_processed,SYNTHETIC,05aba1b7848518b5169bd147df5027b8196162f92d030c20cc2229ab83fd08ea
yolo_raw_synthetic_wound__syn_wound_0208,val,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0208.png,yolo_processed,SYNTHETIC,4692bd9a0fea511b4f37be098ca0395e401c486622b74176d55253dc08df5cb8
yolo_raw_synthetic_wound__syn_wound_0218,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0218.png,yolo_processed,SYNTHETIC,af89df1907e354b95de0c09fc268ce623ab011305f4e80fd0217a3cfb264d4a5
yolo_raw_synthetic_wound__syn_wound_0219,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0219.png,yolo_processed,SYNTHETIC,18f3c9bf3a4661ae7f556170b85aae83221e79d5881a1384647021b520250941
yolo_raw_synthetic_wound__syn_wound_neardup,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_neardup.png,yolo_processed,SYNTHETIC,66161c4de0992abfedd2633ab8141d0f6c7bb99d4aec80428c1a480a1f7132db
injury_sample_0001,train,cut,data/datasets/efficientnet_with_normal/images/cut_injury_sample_0001.png,injury_dataset,SYNTHETIC,746f488573dcbda011d115d04f19b18b238c1081af76bd5eb6779624e1a36811
yolo_raw_synthetic_wound__syn_wound_0006,test,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0006.png,yolo_processed,SYNTHETIC,277714de5ed0995331109d02b7eb27a9f8a2a9ced8943590c1de89fbaa0a49e0
yolo_raw_synthetic_wound__syn_wound_0011,test,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0011.png,yolo_processed,SYNTHETIC,a6400be4ade86ca20dcb216fb118facb0aaffa1f41e9a6117936661225551eba
yolo_raw_synthetic_wound__syn_wound_0016,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0016.png,yolo_processed,SYNTHETIC,918c8a0fca7f51b149be09ffa4632d0543e88ea7c9a0ceeab3e97240fdd6251c
yolo_raw_synthetic_wound__syn_wound_0024,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0024.png,yolo_processed,SYNTHETIC,a6b8c66b9cae73974d9d2c1af75dc027f3d8cea80ae4bf0b8dd4672c49665109
yolo_raw_synthetic_wound__syn_wound_0032,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0032.png,yolo_processed,SYNTHETIC,40006e9f326e45ce986f68dd916331be2ad81c0d55edce05bd3b764a3a7a8b1b
yolo_raw_synthetic_wound__syn_wound_0040,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0040.png,yolo_processed,SYNTHETIC,7abb11e040b648f567a123a795214958f3460af1cb3f06257a35b5a345b6b77c
yolo_raw_synthetic_wound__syn_wound_0042,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0042.png,yolo_processed,SYNTHETIC,a845612d7a2e5ac1eec18850b235c1aaa6c1d03faf8bfee8c6b737c14debdb9c
yolo_raw_synthetic_wound__syn_wound_0045,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0045.png,yolo_processed,SYNTHETIC,4eb74202bef0faa479a89b7ddd30f862db238f634b5a2b3763a8b5337ab12f76
yolo_raw_synthetic_wound__syn_wound_0048,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0048.png,yolo_processed,SYNTHETIC,3922926f3a0b316189fa30699b23435fa0cd087dfe8b215dc75d6ff9026c6ab5
yolo_raw_synthetic_wound__syn_wound_0049,val,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0049.png,yolo_processed,SYNTHETIC,6439e844b70b87e92aac70808abde5d7423dcc276fb13032f8eaceb72fd9874c
yolo_raw_synthetic_wound__syn_wound_0053,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0053.png,yolo_processed,SYNTHETIC,5d4473b7d1ad336dd11a142a0a49dc573d3624780947a8c55b4083bbb7953c4e
yolo_raw_synthetic_wound__syn_wound_0054,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0054.png,yolo_processed,SYNTHETIC,25b6df0cfce239fd22204a3440f3e71f329cf507f4f0795b7846f402eac224be
yolo_raw_synthetic_wound__syn_wound_0059,test,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0059.png,yolo_processed,SYNTHETIC,10033995ada753b4c339d69eec4116f5a17bc483a333c2f8a32d90377ae83dd6
yolo_raw_synthetic_wound__syn_wound_0062,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0062.png,yolo_processed,SYNTHETIC,4c22d3d2478d227ef73c1bd65eb1c9958c52495c2bb1395bf65147716f2067ff
yolo_raw_synthetic_wound__syn_wound_0063,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0063.png,yolo_processed,SYNTHETIC,11833cf105ff63d90667abac88b336b7ca63930ae2c9db448897440250dd11d2
yolo_raw_synthetic_wound__syn_wound_0064,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0064.png,yolo_processed,SYNTHETIC,022bb96f713332433b261391cfdde7b74b517dbaa98deae012e20dde67c008a5
yolo_raw_synthetic_wound__syn_wound_0066,val,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0066.png,yolo_processed,SYNTHETIC,b0e6f46b5396e49ce83f7eb2559f5950b31efbf4565e6014169bb2ae4c960742
yolo_raw_synthetic_wound__syn_wound_0072,val,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0072.png,yolo_processed,SYNTHETIC,64bbc2d64491927b41e5bdb641d42120df4c36428cb0b07c6cbafcec7c112abc
yolo_raw_synthetic_wound__syn_wound_0078,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0078.png,yolo_processed,SYNTHETIC,a29a37c468ac073201099fb6ab8887431584d5f10bd1d68548b3376ed88d8c54
yolo_raw_synthetic_wound__syn_wound_0084,test,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0084.png,yolo_processed,SYNTHETIC,0781e94345a7e98ac07646fba176547bb89b108ed787d2fc34af4bc7a9f11b39
yolo_raw_synthetic_wound__syn_wound_0098,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0098.png,yolo_processed,SYNTHETIC,6fb3da2e702a48f62a3f94358c778c56e69edd8504a2d373411934af7e849733
yolo_raw_synthetic_wound__syn_wound_0101,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0101.png,yolo_processed,SYNTHETIC,25a2333cbcb4bb9162555d6b25d216796a08ae08745e4593e76ad319d9163db5
yolo_raw_synthetic_wound__syn_wound_0103,val,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0103.png,yolo_processed,SYNTHETIC,a1d1ca0d3df9f04b919bffa1738f2c345902f8804808334e085e92ce73d215f8
yolo_raw_synthetic_wound__syn_wound_0104,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0104.png,yolo_processed,SYNTHETIC,395a1e63f4cb76d0c93c1fb9c60b04dda7bbc0caecdde07f4e30c378eeccc758
yolo_raw_synthetic_wound__syn_wound_0110,val,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0110.png,yolo_processed,SYNTHETIC,3be5f5a00c0abc9e98585c304fc5331ce739c7d0207ed81f3932307eb198498a
yolo_raw_synthetic_wound__syn_wound_0113,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0113.png,yolo_processed,SYNTHETIC,9bbd9a2b96d96a8c3262e4bcc1db9296abc7cc4823db18ef34c7f95b001be039
yolo_raw_synthetic_wound__syn_wound_0114,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0114.png,yolo_processed,SYNTHETIC,5a3165f7ebc5683e8b0fd747043da653d88e146c0f95304e890026325c844761
yolo_raw_synthetic_wound__syn_wound_0115,test,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0115.png,yolo_processed,SYNTHETIC,1ae2d5140dfc55c9e6e001e35f375830103c41c4b021f5328da19d21e2f01430
yolo_raw_synthetic_wound__syn_wound_0116,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0116.png,yolo_processed,SYNTHETIC,98b33d9883d37e059404864c8663d3a5b70cf067609e38d8a301e5d01c70e424
yolo_raw_synthetic_wound__syn_wound_0117,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0117.png,yolo_processed,SYNTHETIC,2378823d2114bb93714e6d00d1a8a80566c4c188e6aacc586e868fbfc5777b8e
yolo_raw_synthetic_wound__syn_wound_0126,test,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0126.png,yolo_processed,SYNTHETIC,94d0eff1d3cff20c3813888c3932a7d80ef3515b19513e974e0246d35caf6d39
yolo_raw_synthetic_wound__syn_wound_0148,test,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0148.png,yolo_processed,SYNTHETIC,3eb65bad0545c7445dd8799c98745839f5ebc6e6c0253269fa8a8f6916145290
yolo_raw_synthetic_wound__syn_wound_0157,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0157.png,yolo_processed,SYNTHETIC,7161316c32923c1e5bf4236fcd461223cd4ccad4106ebeb915764bcc9e61252c
yolo_raw_synthetic_wound__syn_wound_0164,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0164.png,yolo_processed,SYNTHETIC,8a3c2cca79efcf52e80ff56e15eda103d95c106cad360616eb94e2bae60a3073
yolo_raw_synthetic_wound__syn_wound_0170,val,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0170.png,yolo_processed,SYNTHETIC,a780473470fff5928ea5134e41126d3e151afa588a1c5a786cb903c56bd7f8e5
yolo_raw_synthetic_wound__syn_wound_0173,test,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0173.png,yolo_processed,SYNTHETIC,3fe10bf669db7df3ac3c7db4ed78f0ae4ea11cee87b9834bd62fddec8619cf68
yolo_raw_synthetic_wound__syn_wound_0179,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0179.png,yolo_processed,SYNTHETIC,22354de9f1781dcb4fd52ebf4a19e69f7774781269c6d27853b86fa0355f2f9d
yolo_raw_synthetic_wound__syn_wound_0183,val,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0183.png,yolo_processed,SYNTHETIC,00a3883595de0d1c41ef5a44e475b6f6f916833a8f457d5654a357fe03ad5bde
