sample_id,split,class,image_path,source_dataset,source_path,provenance,pixel_sha256,negative
yolo_raw_synthetic_wound__syn_wound_0018,test,cut,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0018.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0018.jpg,SYNTHETIC,f7602ae01c1b22d3bc57bb83551d56c36744362e6268c75aaae745c604ddc529,False
yolo_raw_synthetic_wound__syn_wound_0034,test,cut,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0034.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0034.jpg,SYNTHETIC,ea0a2241645f7b9bc27bae74f12e5b4cc97d39743ef6ffdd091bff7c7c21eb08,False
yolo_raw_synthetic_wound__syn_wound_0079,test,cut,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0079.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0079.jpg,SYNTHETIC,f11b77dbe997f6fea8f7be4fe6cf625af42235efc734a4d69d0340d197441cde,False
yolo_raw_synthetic_wound__syn_wound_0082,test,cut,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0082.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0082.jpg,SYNTHETIC,e24ba378824690572242890fa7cb017eb872e6e03acb96dfc8bb93df52fddc74,False
yolo_raw_synthetic_wound__syn_wound_0085,test,cut,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0085.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0085.jpg,SYNTHETIC,f2a94813604040da8886d386e7b4019146e7e2a74ab6cf5611007ba2760d22ee,False
yolo_raw_synthetic_wound__syn_wound_0137,test,cut,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0137.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0137.jpg,SYNTHETIC,e8aa78af2c62c860e4af7db9f2df5d3d3315ac418de446853ebae9239090b4e3,False
yolo_raw_synthetic_wound__syn_wound_0141,test,cut,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0141.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0141.jpg,SYNTHETIC,fd8d1401feb9212d35992f2661e2c6bfa7a3f758b43220a96bcc7620eea00e9b,False
yolo_raw_synthetic_wound__syn_wound_0200,test,cut,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0200.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0200.jpg,SYNTHETIC,e2f3bfd429480ed5cc17463925d9df218b8b4662f1faac17901b1251b9cd08cc,False
yolo_yolo_real_wound__public_sample_0001,test,cut,data/datasets/efficientnet_processed/images/test/yolo_yolo_real_wound__public_sample_0001.jpg,yolo_processed,data/datasets/yolo_processed/images/test/yolo_real_wound__public_sample_0001.jpg,SYNTHETIC,f3a0596e8cd0212b0435977128635e66bd899c555bf9a3e2f923ec665b044d71,False
injury_sample_0002,train,bruise,data/datasets/efficientnet_processed/images/train/injury_sample_0002.jpg,injury_dataset,data/datasets/injury_dataset/images/sample_0002.jpg,SYNTHETIC,34f64ba8d94f4e4cdfd207fb08ee5c2e5176b6a9f9859d54357eb4c4657f3409,False
yolo_raw_synthetic_wound__syn_wound_0007,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0007.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0007.jpg,SYNTHETIC,6a909cf3749b2d12ef8cc7083d708811e978cf3fd78d380a940f9be622ddd58d,False
yolo_raw_synthetic_wound__syn_wound_0012,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0012.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0012.jpg,SYNTHETIC,9b6ccf23860a926d4babfa9d1c9e20c120d96bf9581d4acbf816c21eea1a155f,False
yolo_raw_synthetic_wound__syn_wound_0017,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0017.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0017.jpg,SYNTHETIC,35778770cbee75a6e9f64bd9087296679d3b6611d2e2d02100c7cd38c6ddcf38,False
yolo_raw_synthetic_wound__syn_wound_0020,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0020.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0020.jpg,SYNTHETIC,19957e89f860be0290b3f789883c1c4357936a6cff62e45d5b39b2772fd13a60,False
yolo_raw_synthetic_wound__syn_wound_0027,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0027.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0027.jpg,SYNTHETIC,16df5da17808b93118b40c2908dd16bf0da90f202554ac487493d590da015925,False
yolo_raw_synthetic_wound__syn_wound_0039,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0039.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0039.jpg,SYNTHETIC,346865bafda069544c7a637b905f8aeb80efe9a07efe198e42a1e7ac1ea59889,False
yolo_raw_synthetic_wound__syn_wound_0041,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0041.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0041.jpg,SYNTHETIC,093bb23e43ddc222e755c2592bdfc2389d7bf19b519bad7849275fc4e569e94a,False
yolo_raw_synthetic_wound__syn_wound_0065,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0065.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0065.jpg,SYNTHETIC,9ed56f4479add9efd6db10ff36cdb7a8bd4f639b1fbb2aa96d12cd26a0b37624,False
yolo_raw_synthetic_wound__syn_wound_0067,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0067.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0067.jpg,SYNTHETIC,6741928fab9af0524d795357d9cdcf2d3f67fbb508ac920ef5e3b465994d8aaf,False
yolo_raw_synthetic_wound__syn_wound_0069,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0069.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0069.jpg,SYNTHETIC,247bc40d117f9c8baddff7db4b71e7363769b1a71128fcfd8a96621b5a8534b7,False
yolo_raw_synthetic_wound__syn_wound_0076,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0076.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0076.jpg,SYNTHETIC,2aaa1bf11a7792f4b83daf797220e4939155cf5f315bddace7f90d683ef5afff,False
yolo_raw_synthetic_wound__syn_wound_0077,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0077.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0077.jpg,SYNTHETIC,9c181d37d616cce531cfd537792ab1dbba6295eaadf022fab7d0a7e85be54e6d,False
yolo_raw_synthetic_wound__syn_wound_0088,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0088.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0088.jpg,SYNTHETIC,7ffe369b219dab44c4d46c8bbd1f98a2202c8ee0048c2ffdbd667c9c044c65d1,False
yolo_raw_synthetic_wound__syn_wound_0091,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0091.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0091.jpg,SYNTHETIC,37a040cfc0dfd3a4b71ff4c19b4cad54ded0e774c14bc6d7c91bafe7072f9c15,False
yolo_raw_synthetic_wound__syn_wound_0096,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0096.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0096.jpg,SYNTHETIC,5a0483320ab6d407c420de08428b3ea7e47217c6f3fec1610e80963f28d26b48,False
yolo_raw_synthetic_wound__syn_wound_0099,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0099.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0099.jpg,SYNTHETIC,2569f1099024b49c92547cf79fb5777df3a8f8b3210cdbc62abc657c0e8337dd,False
yolo_raw_synthetic_wound__syn_wound_0108,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0108.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0108.jpg,SYNTHETIC,24870414d2cca379549bde5de5c314f6cb9255c3a120da4ce4ee3c275d5056d2,False
yolo_raw_synthetic_wound__syn_wound_0118,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0118.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0118.jpg,SYNTHETIC,aac5a7919cb7191c71673879464770223866858b001308964d1fc1637c7e2b66,False
yolo_raw_synthetic_wound__syn_wound_0120,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0120.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0120.jpg,SYNTHETIC,57095cfc3410f9ca31732d41597d03b6f423403e0b6efe0b7441221af19be614,False
yolo_raw_synthetic_wound__syn_wound_0130,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0130.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0130.jpg,SYNTHETIC,b2b7dde77d0fe106dbe0f1599902c53eec0fbbe8b289223a336a34f58864e06e,False
yolo_raw_synthetic_wound__syn_wound_0136,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0136.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0136.jpg,SYNTHETIC,3a4dbd65c84938706d553a87537cf75f24225c15233c18caeeaeaa1edd67f44f,False
yolo_raw_synthetic_wound__syn_wound_0139,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0139.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0139.jpg,SYNTHETIC,6bda740380435dff940f85df47ab52b87b55e3e50c3e76181adab40167e773cf,False
yolo_raw_synthetic_wound__syn_wound_0142,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0142.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0142.jpg,SYNTHETIC,558fb82bb3f0cb1a2042f87d968b5274b55e49b2be79c7bf2437319ad4d24014,False
yolo_raw_synthetic_wound__syn_wound_0146,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0146.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0146.jpg,SYNTHETIC,2c277b193d76271b446c70e4c7bc475c8d0ddabc1d963313929a13ac2329d95a,False
yolo_raw_synthetic_wound__syn_wound_0150,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0150.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0150.jpg,SYNTHETIC,3e46496c35a089cd7476e5cc0b24a7c4611962730bee8962addd19edead54ebd,False
yolo_raw_synthetic_wound__syn_wound_0153,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0153.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0153.jpg,SYNTHETIC,3f82065f4aeaf52b4dce9bdea5e61219309375d7fa7c2fe9ff90a962910aed1c,False
yolo_raw_synthetic_wound__syn_wound_0156,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0156.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0156.jpg,SYNTHETIC,6b3234a8179e25556ca254fe35b994cf13d26b76311590b70b4ae7b4e143f964,False
yolo_raw_synthetic_wound__syn_wound_0158,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0158.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0158.jpg,SYNTHETIC,ad450b83253ad13b347826ee915c71ec16bcdf9d8c96cfbadc9087f69ff26e84,False
yolo_raw_synthetic_wound__syn_wound_0160,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0160.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0160.jpg,SYNTHETIC,033f34872f2f97517b149bd54cbdfde7afa60f822978aa891bc1f7ebd7bb4faa,False
yolo_raw_synthetic_wound__syn_wound_0161,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0161.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0161.jpg,SYNTHETIC,2011dbcdc9edcecd17db6c78f343cf50e4318dacf0f4f66505ed8089bf6f6463,False
yolo_raw_synthetic_wound__syn_wound_0172,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0172.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0172.jpg,SYNTHETIC,22844990fd880462094f6b197a46664392044d17433073f250b79ad48063bf75,False
yolo_raw_synthetic_wound__syn_wound_0181,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0181.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0181.jpg,SYNTHETIC,55d66d81809ee5dac8e5955d6b5fb1a802e0f086f71f0f59a03fa8ed2094f3fb,False
yolo_raw_synthetic_wound__syn_wound_0182,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0182.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0182.jpg,SYNTHETIC,ace1d0125b7e1413b2a57d09858552a8bd829a58061a41b3a0e38fe6ce810c51,False
yolo_raw_synthetic_wound__syn_wound_0184,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0184.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0184.jpg,SYNTHETIC,6ac2b3fde5e8225852846d07737e8eb04e037566c73510c2df59018a74bf4582,False
yolo_raw_synthetic_wound__syn_wound_0185,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0185.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0185.jpg,SYNTHETIC,6611663f63c8679d808cf3e04ca451a678951e2e3cbd9db31f9e6bc87336144f,False
yolo_raw_synthetic_wound__syn_wound_0189,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0189.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0189.jpg,SYNTHETIC,aafe3b2a05de215ba9b83e107dfcef362f108f86712697f3db5058f6be871ced,False
yolo_raw_synthetic_wound__syn_wound_0195,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0195.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0195.jpg,SYNTHETIC,713e21fe7a098c0170304502e7289c20ba2547f5a30340140e98f90b56c1a09c,False
yolo_raw_synthetic_wound__syn_wound_0206,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0206.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0206.jpg,SYNTHETIC,1d9af1ea5d22032e74242cd1283124ab4b207c203e3b2b2343f25f2b6895e1bc,False
yolo_raw_synthetic_wound__syn_wound_0207,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0207.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0207.jpg,SYNTHETIC,05aba1b7848518b5169bd147df5027b8196162f92d030c20cc2229ab83fd08ea,False
yolo_raw_synthetic_wound__syn_wound_0208,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0208.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0208.jpg,SYNTHETIC,4692bd9a0fea511b4f37be098ca0395e401c486622b74176d55253dc08df5cb8,False
yolo_raw_synthetic_wound__syn_wound_0218,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0218.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0218.jpg,SYNTHETIC,af89df1907e354b95de0c09fc268ce623ab011305f4e80fd0217a3cfb264d4a5,False
yolo_raw_synthetic_wound__syn_wound_0219,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0219.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0219.jpg,SYNTHETIC,18f3c9bf3a4661ae7f556170b85aae83221e79d5881a1384647021b520250941,False
yolo_raw_synthetic_wound__syn_wound_neardup,train,bruise,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_neardup.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_neardup.jpg,SYNTHETIC,66161c4de0992abfedd2633ab8141d0f6c7bb99d4aec80428c1a480a1f7132db,False
injury_sample_0001,train,cut,data/datasets/efficientnet_processed/images/train/injury_sample_0001.jpg,injury_dataset,data/datasets/injury_dataset/images/sample_0001.jpg,SYNTHETIC,746f488573dcbda011d115d04f19b18b238c1081af76bd5eb6779624e1a36811,False
yolo_raw_synthetic_wound__syn_wound_0006,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0006.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0006.jpg,SYNTHETIC,277714de5ed0995331109d02b7eb27a9f8a2a9ced8943590c1de89fbaa0a49e0,False
yolo_raw_synthetic_wound__syn_wound_0011,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0011.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0011.jpg,SYNTHETIC,a6400be4ade86ca20dcb216fb118facb0aaffa1f41e9a6117936661225551eba,False
yolo_raw_synthetic_wound__syn_wound_0016,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0016.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0016.jpg,SYNTHETIC,918c8a0fca7f51b149be09ffa4632d0543e88ea7c9a0ceeab3e97240fdd6251c,False
yolo_raw_synthetic_wound__syn_wound_0024,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0024.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0024.jpg,SYNTHETIC,a6b8c66b9cae73974d9d2c1af75dc027f3d8cea80ae4bf0b8dd4672c49665109,False
yolo_raw_synthetic_wound__syn_wound_0032,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0032.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0032.jpg,SYNTHETIC,40006e9f326e45ce986f68dd916331be2ad81c0d55edce05bd3b764a3a7a8b1b,False
yolo_raw_synthetic_wound__syn_wound_0040,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0040.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0040.jpg,SYNTHETIC,7abb11e040b648f567a123a795214958f3460af1cb3f06257a35b5a345b6b77c,False
yolo_raw_synthetic_wound__syn_wound_0042,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0042.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0042.jpg,SYNTHETIC,a845612d7a2e5ac1eec18850b235c1aaa6c1d03faf8bfee8c6b737c14debdb9c,False
yolo_raw_synthetic_wound__syn_wound_0045,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0045.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0045.jpg,SYNTHETIC,4eb74202bef0faa479a89b7ddd30f862db238f634b5a2b3763a8b5337ab12f76,False
yolo_raw_synthetic_wound__syn_wound_0048,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0048.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0048.jpg,SYNTHETIC,3922926f3a0b316189fa30699b23435fa0cd087dfe8b215dc75d6ff9026c6ab5,False
yolo_raw_synthetic_wound__syn_wound_0049,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0049.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0049.jpg,SYNTHETIC,6439e844b70b87e92aac70808abde5d7423dcc276fb13032f8eaceb72fd9874c,False
yolo_raw_synthetic_wound__syn_wound_0053,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0053.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0053.jpg,SYNTHETIC,5d4473b7d1ad336dd11a142a0a49dc573d3624780947a8c55b4083bbb7953c4e,False
yolo_raw_synthetic_wound__syn_wound_0054,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0054.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0054.jpg,SYNTHETIC,25b6df0cfce239fd22204a3440f3e71f329cf507f4f0795b7846f402eac224be,False
yolo_raw_synthetic_wound__syn_wound_0059,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0059.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0059.jpg,SYNTHETIC,10033995ada753b4c339d69eec4116f5a17bc483a333c2f8a32d90377ae83dd6,False
yolo_raw_synthetic_wound__syn_wound_0062,train,cut,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0062.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0062.jpg,SYNTHETIC,4c22d3d2478d227ef73c1bd65eb1c9958c52495c2bb1395bf65147716f2067ff,False
