sample_id,subject_id,original_label,canonical_label,mapping_reason,sampling_rate_hz,window_seconds,peak_g_force,peak_accel_ms2,peak_jerk_gs,accel_variance,gyro_variance,sma,stabilization_seconds,impact_flag,source_dataset,split_method,split
sens_0032,subj_032,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.0835,20.4322,56.0877,0.010023,0.142645,10.1593,1.52,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0033,subj_033,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.127,20.8589,55.8953,0.01099,0.034977,10.1906,1.66,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0034,subj_034,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,8.7316,85.6275,386.6117,0.475061,0.121766,10.7414,1.8,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0035,subj_035,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,7.1527,70.1442,308.9645,0.301535,0.124311,10.5915,1.1,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0036,subj_036,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.1426,50.4313,208.5656,0.137247,0.033268,10.4439,1.48,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0037,subj_037,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.3318,52.2871,217.5408,0.149689,0.038147,10.4616,1.7,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0038,subj_038,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,7.9843,78.2993,349.257,0.387967,0.087677,10.6912,1.42,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0039,subj_001,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,7.9436,77.8999,347.1598,0.3836,0.115871,10.6775,1.82,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0040,subj_002,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,13.1607,129.0619,607.8246,1.174947,0.180866,11.0494,1.78,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0041,subj_003,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.2765,22.3247,64.3207,0.01361,0.082048,10.2731,1.62,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0042,subj_004,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,6.4359,63.115,272.0342,0.235783,0.140372,10.5109,1.14,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0043,subj_005,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,6.5486,64.2195,276.3104,0.245032,0.147059,10.5621,1.28,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0044,subj_006,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,4.9986,49.0191,200.6765,0.127392,0.129963,10.4776,1.74,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0045,subj_007,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,10.1938,99.9672,461.1519,0.6707,0.10105,10.9057,1.36,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0046,subj_008,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.1807,80.2256,362.3762,0.410358,0.093353,10.701,1.5,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0047,subj_009,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,11.2985,110.8008,516.5445,0.842346,0.07845,10.9657,1.4,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0048,subj_010,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.9958,88.2189,402.8066,0.50792,0.0325,10.7925,1.44,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0049,subj_011,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,6.6665,65.3763,283.3581,0.255923,0.120001,10.5437,1.44,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0050,subj_012,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.6194,84.5275,381.7728,0.461435,0.056033,10.7544,1.12,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0051,subj_013,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.9473,87.7434,399.2118,0.502409,0.133495,10.7284,1.46,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0052,subj_014,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,14.3378,140.6061,668.5114,1.41352,0.07717,11.1304,1.18,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0053,subj_015,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.2753,22.3135,65.43,0.013893,0.036711,10.2444,1.36,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0054,subj_016,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.208,21.6532,61.695,0.01268,0.156394,10.2165,1.62,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0055,subj_017,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,11.8179,115.8944,539.9118,0.929961,0.08436,10.9574,1.36,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0056,subj_018,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.8401,86.6914,393.7019,0.488669,0.10627,10.7488,1.8,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0057,subj_019,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,1.9151,18.7804,45.1288,0.007508,0.086993,10.2062,1.16,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0058,subj_020,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.3184,22.7356,68.3182,0.014857,0.14178,10.2168,1.56,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0059,subj_021,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.4515,24.0411,70.4334,0.017607,0.059869,10.2466,1.46,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0060,subj_022,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.2753,51.7335,214.8428,0.145549,0.144006,10.5178,1.22,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0061,subj_023,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,6.5503,64.2366,277.2343,0.245177,0.081124,10.582,1.68,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0062,subj_024,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.6413,94.549,433.025,0.593202,0.136348,10.8499,1.44,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0063,subj_025,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.6224,25.7172,83.0088,0.021774,0.052077,10.2629,1.16,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0064,subj_026,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.3557,23.1013,67.4891,0.015395,0.18263,10.2673,1.3,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0065,subj_027,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.7853,95.9613,438.2303,0.613686,0.104084,10.75,1.32,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0066,subj_028,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.6307,25.798,79.9807,0.021723,0.098684,10.2918,1.1,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0067,subj_029,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.2115,21.6872,61.2126,0.012472,0.060791,10.2238,1.42,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0068,subj_030,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.3967,23.5034,71.8858,0.016624,0.047657,10.1689,1.52,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0069,subj_031,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.0874,20.4705,56.0415,0.01044,0.059881,10.2004,1.38,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0070,subj_032,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.5485,24.9918,76.1213,0.01984,0.07723,10.2428,1.6,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0071,subj_033,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.9196,58.0514,244.9391,0.192793,0.105126,10.5066,1.52,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0072,subj_034,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.4706,24.2282,74.1314,0.018185,0.090734,10.2066,1.42,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0073,subj_035,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,10.424,102.225,472.2208,0.706595,0.153649,10.8106,1.4,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0074,subj_036,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,10.5822,103.7757,480.5267,0.730045,0.04437,10.8453,1.7,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0075,subj_037,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.546,24.9674,78.4449,0.019995,0.108349,10.2063,1.76,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0076,subj_038,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,9.4,92.1822,420.6996,0.56074,0.192991,10.8166,1.82,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0077,subj_001,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.0053,19.6655,50.644,0.008828,0.128344,10.2206,1.36,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0078,subj_002,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.6884,55.7843,233.6098,0.175462,0.077273,10.4635,1.86,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0079,subj_003,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,9.4282,92.4587,420.794,0.564826,0.064266,10.7492,1.36,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0080,subj_004,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.2049,21.623,60.2156,0.012544,0.07425,10.2212,1.46,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0081,subj_005,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.8328,96.4264,441.4116,0.61952,0.118466,10.8433,1.74,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0082,subj_006,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.3039,81.4338,368.0208,0.424182,0.047853,10.7048,1.68,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0083,subj_007,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,7.854,77.0211,340.8101,0.373366,0.162337,10.7201,1.78,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0084,subj_008,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,7.6119,74.6476,332.5571,0.348026,0.139897,10.6343,1.46,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0085,subj_009,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.462,24.1436,74.7156,0.01799,0.090711,10.2289,1.5,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0086,subj_010,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.223,80.6398,365.156,0.414918,0.156178,10.6975,1.42,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0087,subj_011,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,7.0745,69.3767,303.99,0.293679,0.059904,10.6085,1.54,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0088,subj_012,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.2658,22.2203,63.1202,0.013579,0.046077,10.2423,1.3,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0089,subj_013,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.45,24.0261,72.4977,0.017498,0.109987,10.2571,1.56,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0090,subj_014,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.0519,78.9626,353.1106,0.395503,0.048881,10.6369,1.28,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0091,subj_015,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.0146,88.4035,399.219,0.509715,0.103625,10.8203,1.2,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0092,subj_016,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.5824,25.3245,79.2431,0.0208,0.049123,10.2519,1.62,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0093,subj_017,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,12.8804,126.3132,592.9656,1.119567,0.175098,11.1179,1.28,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0094,subj_018,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,10.8972,106.865,495.2785,0.777734,0.108287,10.9272,1.62,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0095,subj_019,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,4.9583,48.6245,197.7022,0.125288,0.09192,10.4457,1.54,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0096,subj_020,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,12.4292,121.8889,571.0318,1.037093,0.031285,11.0553,1.7,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0097,subj_021,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,7.5956,74.4872,330.3838,0.346237,0.040968,10.6609,1.26,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0098,subj_022,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.4577,92.7483,425.0023,0.56929,0.160948,10.7416,1.18,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0099,subj_023,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,9.2464,90.6759,413.189,0.541586,0.047898,10.6647,1.24,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0100,subj_024,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.7211,95.3317,438.7526,0.604046,0.136257,10.8509,1.64,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0101,subj_025,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,13.9524,136.8267,648.0355,1.331831,0.048616,11.1614,1.3,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0102,subj_026,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.3219,81.61,365.5579,0.425811,0.101457,10.7344,1.56,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0103,subj_027,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,1.9963,19.577,50.339,0.008631,0.106356,10.2194,1.52,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0104,subj_028,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.5413,24.9215,78.4143,0.019809,0.105297,10.2423,1.1,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0105,subj_029,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.4115,23.6486,71.2389,0.016844,0.03745,10.2347,1.4,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0106,subj_030,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.4832,92.9988,426.6905,0.571777,0.193979,10.8192,1.76,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0107,subj_031,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,6.9773,68.4237,299.3045,0.284017,0.190955,10.6205,1.86,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0108,subj_032,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.4552,24.0777,71.0243,0.017934,0.180296,10.2335,1.1,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
