sample_id,subject_id,source,activity,original_label,canonical_label,sampling_rate_hz,window_seconds,peak_g_force,peak_accel_ms2,peak_jerk_gs,accel_variance,gyro_variance,sma,stabilization_seconds,impact_flag,split_method,split
sisfall_D07_SA01_R03,sisfall_SA01,SisFall,D07,D07,normal_activity,50.0,2.5,1.0275,10.0765,1.3486,5.7e-05,0.026806,10.9261,0.66,0.0,subject_level_split,train
sisfall_D07_SA01_R04,sisfall_SA01,SisFall,D07,D07,normal_activity,50.0,2.5,1.0431,10.2293,1.8864,8.2e-05,0.000764,11.1404,0.1,0.0,subject_level_split,train
sisfall_D07_SA01_R05,sisfall_SA01,SisFall,D07,D07,normal_activity,50.0,2.5,1.0364,10.1637,1.4115,5.1e-05,0.000287,10.7346,2.4,0.0,subject_level_split,train
sisfall_D08_SA01_R01,sisfall_SA01,SisFall,D08,D08,normal_activity,50.0,2.5,1.0169,9.9724,1.7636,0.000122,0.004467,11.9001,2.36,0.0,subject_level_split,train
sisfall_D08_SA01_R02,sisfall_SA01,SisFall,D08,D08,normal_activity,50.0,2.5,1.9294,18.9209,14.3306,0.056003,0.237311,11.9261,0.58,0.0,subject_level_split,train
sisfall_D08_SA01_R03,sisfall_SA01,SisFall,D08,D08,normal_activity,50.0,2.5,1.0346,10.1462,1.234,6e-05,0.004247,11.2776,1.5,0.0,subject_level_split,train
sisfall_D08_SA01_R04,sisfall_SA01,SisFall,D08,D08,normal_activity,50.0,2.5,1.8486,18.1283,13.5866,0.038727,0.269001,11.8084,0.62,0.0,subject_level_split,train
sisfall_D08_SA01_R05,sisfall_SA01,SisFall,D08,D08,normal_activity,50.0,2.5,1.8088,17.7386,10.5644,0.015936,0.196329,11.5541,0.0,0.0,subject_level_split,train
sisfall_D09_SA01_R01,sisfall_SA01,SisFall,D09,D09,normal_activity,50.0,2.5,0.9996,9.8032,1.532,7.5e-05,0.008551,12.9285,0.84,0.0,subject_level_split,train
sisfall_D09_SA01_R02,sisfall_SA01,SisFall,D09,D09,normal_activity,50.0,2.5,1.0067,9.8724,1.8447,7e-05,0.000181,12.4952,0.9,0.0,subject_level_split,train
sisfall_D09_SA01_R03,sisfall_SA01,SisFall,D09,D09,normal_activity,50.0,2.5,1.071,10.5027,4.9704,0.000371,0.006851,12.4934,2.44,0.0,subject_level_split,train
sisfall_D09_SA01_R04,sisfall_SA01,SisFall,D09,D09,normal_activity,50.0,2.5,1.0236,10.0378,2.2723,0.000121,0.000345,12.6512,2.0,0.0,subject_level_split,train
sisfall_D09_SA01_R05,sisfall_SA01,SisFall,D09,D09,normal_activity,50.0,2.5,1.0055,9.8602,1.5658,6.2e-05,0.00049,12.6055,1.34,0.0,subject_level_split,train
sisfall_D10_SA01_R01,sisfall_SA01,SisFall,D10,D10,normal_activity,50.0,2.5,1.0086,9.8908,1.266,6.7e-05,0.001241,12.2847,1.9,0.0,subject_level_split,train
sisfall_D10_SA01_R02,sisfall_SA01,SisFall,D10,D10,normal_activity,50.0,2.5,1.4356,14.0782,9.5102,0.014806,0.297306,12.4235,0.0,0.0,subject_level_split,train
sisfall_D10_SA01_R03,sisfall_SA01,SisFall,D10,D10,normal_activity,50.0,2.5,1.009,9.8951,2.1636,6.8e-05,0.000351,12.224,1.84,0.0,subject_level_split,train
sisfall_D10_SA01_R04,sisfall_SA01,SisFall,D10,D10,normal_activity,50.0,2.5,1.0038,9.8444,1.4901,0.00011,0.012983,12.2402,1.68,0.0,subject_level_split,train
sisfall_D10_SA01_R05,sisfall_SA01,SisFall,D10,D10,normal_activity,50.0,2.5,1.4668,14.3846,13.3773,0.014831,0.289687,12.5939,0.0,0.0,subject_level_split,train
sisfall_D11_SA01_R01,sisfall_SA01,SisFall,D11,D11,normal_activity,50.0,2.5,1.0403,10.2023,4.3259,0.000169,0.002568,11.6365,2.44,0.0,subject_level_split,train
sisfall_D11_SA01_R02,sisfall_SA01,SisFall,D11,D11,normal_activity,50.0,2.5,4.3638,42.7943,151.6617,0.186363,1.242314,13.3162,1.34,1.0,subject_level_split,train
sisfall_D11_SA01_R03,sisfall_SA01,SisFall,D11,D11,normal_activity,50.0,2.5,4.7887,46.9614,137.027,0.24322,1.520505,13.3953,0.74,1.0,subject_level_split,train
sisfall_D11_SA01_R04,sisfall_SA01,SisFall,D11,D11,normal_activity,50.0,2.5,5.9115,57.9719,205.306,0.247329,1.18404,13.6034,0.92,1.0,subject_level_split,train
sisfall_D11_SA01_R05,sisfall_SA01,SisFall,D11,D11,normal_activity,50.0,2.5,6.5758,64.4867,271.3507,0.359508,1.760787,13.2476,2.24,1.0,subject_level_split,train
sisfall_D12_SA01_R01,sisfall_SA01,SisFall,D12,D12,normal_activity,50.0,2.5,1.0715,10.508,1.4157,9.5e-05,0.002072,11.5587,2.38,0.0,subject_level_split,train
sisfall_D12_SA01_R02,sisfall_SA01,SisFall,D12,D12,normal_activity,50.0,2.5,1.0977,10.7643,2.4002,0.000152,0.011021,12.4339,0.36,0.0,subject_level_split,train
sisfall_D12_SA01_R03,sisfall_SA01,SisFall,D12,D12,normal_activity,50.0,2.5,1.0772,10.5638,1.7813,0.000104,0.008089,11.8755,0.08,0.0,subject_level_split,train
sisfall_D12_SA01_R04,sisfall_SA01,SisFall,D12,D12,normal_activity,50.0,2.5,1.0812,10.6028,3.8438,0.000283,0.003278,12.0738,2.44,0.0,subject_level_split,train
sisfall_D12_SA01_R05,sisfall_SA01,SisFall,D12,D12,normal_activity,50.0,2.5,1.0987,10.7748,3.6679,0.000762,0.149745,12.1299,0.44,0.0,subject_level_split,train
sisfall_D13_SA01_R01,sisfall_SA01,SisFall,D13,D13,normal_activity,50.0,2.5,1.1912,11.6812,4.7169,0.001209,0.618086,12.2028,0.7,0.0,subject_level_split,train
sisfall_D13_SA01_R02,sisfall_SA01,SisFall,D13,D13,normal_activity,50.0,2.5,1.1206,10.9892,3.1658,0.000157,0.012911,11.3521,0.16,0.0,subject_level_split,train
sisfall_D13_SA01_R03,sisfall_SA01,SisFall,D13,D13,normal_activity,50.0,2.5,1.0582,10.3772,2.6395,5.9e-05,0.000809,10.9743,0.44,0.0,subject_level_split,train
sisfall_D13_SA01_R04,sisfall_SA01,SisFall,D13,D13,normal_activity,50.0,2.5,1.2429,12.1889,4.3573,0.001986,0.347328,12.4977,0.14,0.0,subject_level_split,train
sisfall_D13_SA01_R05,sisfall_SA01,SisFall,D13,D13,normal_activity,50.0,2.5,1.0495,10.2917,2.0776,0.00014,0.001815,12.4609,2.46,0.0,subject_level_split,train
sisfall_D14_SA01_R01,sisfall_SA01,SisFall,D14,D14,normal_activity,50.0,2.5,1.0765,10.5573,1.777,0.000131,0.002822,12.1514,2.2,0.0,subject_level_split,train
sisfall_D14_SA01_R02,sisfall_SA01,SisFall,D14,D14,normal_activity,50.0,2.5,1.0897,10.6861,2.1137,0.000236,0.01028,10.9393,2.02,0.0,subject_level_split,train
sisfall_D14_SA01_R03,sisfall_SA01,SisFall,D14,D14,normal_activity,50.0,2.5,1.0539,10.3354,2.2494,0.000101,0.001662,11.2816,1.86,0.0,subject_level_split,train
sisfall_D14_SA01_R04,sisfall_SA01,SisFall,D14,D14,normal_activity,50.0,2.5,1.0733,10.5256,1.4686,9.9e-05,0.012754,11.6757,2.3,0.0,subject_level_split,train
sisfall_D14_SA01_R05,sisfall_SA01,SisFall,D14,D14,normal_activity,50.0,2.5,1.0914,10.7029,4.7939,0.000235,0.004574,12.1538,2.34,0.0,subject_level_split,train
sisfall_D15_SA01_R01,sisfall_SA01,SisFall,D15,D15,normal_activity,50.0,2.5,1.3888,13.6199,3.8902,0.006687,0.171415,11.8967,0.42,0.0,subject_level_split,train
sisfall_D15_SA01_R02,sisfall_SA01,SisFall,D15,D15,normal_activity,50.0,2.5,1.2646,12.4015,2.9727,0.003841,0.027999,11.4882,2.36,0.0,subject_level_split,train
sisfall_D15_SA01_R03,sisfall_SA01,SisFall,D15,D15,normal_activity,50.0,2.5,1.5073,14.7819,8.2066,0.009327,0.147785,11.7824,0.78,0.0,subject_level_split,train
sisfall_D15_SA01_R04,sisfall_SA01,SisFall,D15,D15,normal_activity,50.0,2.5,1.0471,10.2682,1.7403,9.9e-05,0.000675,10.1995,0.48,0.0,subject_level_split,train
sisfall_D15_SA01_R05,sisfall_SA01,SisFall,D15,D15,normal_activity,50.0,2.5,1.0906,10.6948,1.7885,0.000291,0.002195,11.0457,2.36,0.0,subject_level_split,train
sisfall_D16_SA01_R01,sisfall_SA01,SisFall,D16,D16,normal_activity,50.0,2.5,1.1197,10.9803,1.9444,9.6e-05,0.005288,14.9472,0.24,0.0,subject_level_split,train
sisfall_D16_SA01_R02,sisfall_SA01,SisFall,D16,D16,normal_activity,50.0,2.5,1.1102,10.8877,1.8541,0.000121,0.003305,14.7673,1.96,0.0,subject_level_split,train
sisfall_D16_SA01_R03,sisfall_SA01,SisFall,D16,D16,normal_activity,50.0,2.5,1.0944,10.732,2.0004,0.000126,0.011125,14.1869,0.06,0.0,subject_level_split,train
sisfall_D16_SA01_R04,sisfall_SA01,SisFall,D16,D16,normal_activity,50.0,2.5,1.0887,10.6767,1.8575,7.9e-05,0.001235,14.1565,1.86,0.0,subject_level_split,train
sisfall_D16_SA01_R05,sisfall_SA01,SisFall,D16,D16,normal_activity,50.0,2.5,1.0864,10.6543,2.1587,7.5e-05,0.000186,13.9993,1.4,0.0,subject_level_split,train
sisfall_D17_SA01_R01,sisfall_SA01,SisFall,D17,D17,normal_activity,50.0,2.5,0.9871,9.6805,6.7215,0.000186,2.8e-05,12.7517,0.66,0.0,subject_level_split,train
sisfall_D17_SA01_R02,sisfall_SA01,SisFall,D17,D17,normal_activity,50.0,2.5,0.9619,9.4334,1.1536,5e-05,1.4e-05,12.0796,0.38,0.0,subject_level_split,train
sisfall_D17_SA01_R03,sisfall_SA01,SisFall,D17,D17,normal_activity,50.0,2.5,0.9525,9.3412,1.0834,4.8e-05,1.4e-05,12.0983,2.4,0.0,subject_level_split,train
sisfall_D17_SA01_R04,sisfall_SA01,SisFall,D17,D17,normal_activity,50.0,2.5,0.9626,9.4399,1.8535,6.1e-05,9e-06,12.577,1.54,0.0,subject_level_split,train
sisfall_D17_SA01_R05,sisfall_SA01,SisFall,D17,D17,normal_activity,50.0,2.5,0.9487,9.3038,1.4524,5e-05,2.5e-05,12.7934,1.38,0.0,subject_level_split,train
sisfall_D18_SA01_R01,sisfall_SA01,SisFall,D18,D18,impact,50.0,2.5,5.9282,58.1354,141.8281,0.493938,1.130216,15.5491,0.86,1.0,subject_level_split,train
sisfall_D18_SA01_R02,sisfall_SA01,SisFall,D18,D18,impact,50.0,2.5,4.8975,48.0279,170.4821,0.542979,0.540969,15.9695,0.88,1.0,subject_level_split,train
sisfall_D18_SA01_R03,sisfall_SA01,SisFall,D18,D18,impact,50.0,2.5,4.74,46.483,108.5962,0.535811,0.642558,16.2462,0.72,1.0,subject_level_split,train
sisfall_D18_SA01_R04,sisfall_SA01,SisFall,D18,D18,impact,50.0,2.5,3.6968,36.2533,136.8728,0.456682,0.765041,15.8889,0.72,1.0,subject_level_split,train
sisfall_D18_SA01_R05,sisfall_SA01,SisFall,D18,D18,impact,50.0,2.5,4.2125,41.311,100.2777,0.379469,0.63443,15.6352,0.76,1.0,subject_level_split,train
sisfall_D19_SA01_R01,sisfall_SA01,SisFall,D19,D19,impact,50.0,2.5,3.3852,33.1977,56.3283,0.303837,0.0944,12.779,1.1,1.0,subject_level_split,train
sisfall_D19_SA01_R02,sisfall_SA01,SisFall,D19,D19,impact,50.0,2.5,3.5002,34.3248,56.0715,0.297353,0.100621,12.8394,1.14,1.0,subject_level_split,train
sisfall_D19_SA01_R03,sisfall_SA01,SisFall,D19,D19,impact,50.0,2.5,2.9291,28.7242,58.0727,0.260893,0.069002,12.5491,1.12,0.0,subject_level_split,train
sisfall_D19_SA01_R04,sisfall_SA01,SisFall,D19,D19,impact,50.0,2.5,2.8998,28.4376,48.6683,0.275499,0.117485,12.8378,0.98,0.0,subject_level_split,train
sisfall_D19_SA01_R05,sisfall_SA01,SisFall,D19,D19,impact,50.0,2.5,2.9167,28.6026,44.8818,0.295587,0.096581,13.2574,1.1,0.0,subject_level_split,train
sisfall_F01_SA01_R01,sisfall_SA01,SisFall,F01,F01,fall,50.0,2.5,13.7959,135.2917,589.7937,2.591352,32.549524,21.437,0.88,1.0,subject_level_split,train
sisfall_F01_SA01_R02,sisfall_SA01,SisFall,F01,F01,fall,50.0,2.5,18.9959,186.286,888.1903,3.097009,1.671295,20.3191,0.92,1.0,subject_level_split,train
sisfall_F01_SA01_R03,sisfall_SA01,SisFall,F01,F01,fall,50.0,2.5,5.5512,54.4385,215.4203,0.508159,2.937328,17.1341,0.96,1.0,subject_level_split,train
sisfall_F01_SA01_R04,sisfall_SA01,SisFall,F01,F01,fall,50.0,2.5,6.9892,68.5406,248.5226,0.506958,3.359699,17.1724,0.94,1.0,subject_level_split,train
sisfall_F01_SA01_R05,sisfall_SA01,SisFall,F01,F01,fall,50.0,2.5,5.0514,49.5375,84.2038,0.578879,4.916401,19.2431,0.92,1.0,subject_level_split,train
sisfall_F02_SA01_R01,sisfall_SA01,SisFall,F02,F02,fall,50.0,2.5,4.0766,39.9781,71.6673,0.36196,2.132281,15.6719,1.06,1.0,subject_level_split,train
sisfall_F02_SA01_R02,sisfall_SA01,SisFall,F02,F02,fall,50.0,2.5,7.574,74.2759,194.119,0.74346,2.320317,14.8798,1.08,1.0,subject_level_split,train
sisfall_F02_SA01_R03,sisfall_SA01,SisFall,F02,F02,fall,50.0,2.5,7.7318,75.8234,229.1368,0.722508,2.461675,16.2545,1.08,1.0,subject_level_split,train
sisfall_F02_SA01_R04,sisfall_SA01,SisFall,F02,F02,fall,50.0,2.5,12.9718,127.2097,378.7525,2.014637,2.149329,17.4883,0.98,1.0,subject_level_split,train
sisfall_F02_SA01_R05,sisfall_SA01,SisFall,F02,F02,fall,50.0,2.5,9.1492,89.723,248.0769,0.913357,0.921082,15.9919,1.02,1.0,subject_level_split,train
sisfall_F03_SA01_R01,sisfall_SA01,SisFall,F03,F03,fall,50.0,2.5,4.2534,41.7113,54.9457,0.323334,2.302191,15.3462,0.94,1.0,subject_level_split,train
sisfall_F03_SA01_R02,sisfall_SA01,SisFall,F03,F03,fall,50.0,2.5,6.7659,66.3511,136.4427,0.580046,2.754466,15.6272,1.12,1.0,subject_level_split,train
sisfall_F03_SA01_R03,sisfall_SA01,SisFall,F03,F03,fall,50.0,2.5,4.2817,41.9891,97.5995,0.262105,4.205581,16.846,1.08,1.0,subject_level_split,train
sisfall_F03_SA01_R04,sisfall_SA01,SisFall,F03,F03,fall,50.0,2.5,2.849,27.9388,57.7966,0.209955,2.604374,15.5386,0.9,0.0,subject_level_split,train
sisfall_F03_SA01_R05,sisfall_SA01,SisFall,F03,F03,fall,50.0,2.5,4.0513,39.7299,50.8031,0.304213,2.029027,14.8341,1.04,1.0,subject_level_split,train
sisfall_F04_SA01_R01,sisfall_SA01,SisFall,F04,F04,fall,50.0,2.5,5.5847,54.7675,133.5817,0.653153,5.443108,16.5883,1.02,1.0,subject_level_split,train
sisfall_F04_SA01_R02,sisfall_SA01,SisFall,F04,F04,fall,50.0,2.5,4.1891,41.0811,72.9621,0.314632,3.045311,17.3495,0.82,1.0,subject_level_split,train
sisfall_F04_SA01_R03,sisfall_SA01,SisFall,F04,F04,fall,50.0,2.5,6.1212,60.0281,114.1548,0.616091,3.757653,15.155,0.98,1.0,subject_level_split,train
sisfall_F04_SA01_R04,sisfall_SA01,SisFall,F04,F04,fall,50.0,2.5,4.645,45.5521,101.3071,0.62511,4.953115,16.9131,0.9,1.0,subject_level_split,train
sisfall_F04_SA01_R05,sisfall_SA01,SisFall,F04,F04,fall,50.0,2.5,4.6335,45.4392,108.1549,0.546037,3.671552,17.9376,1.1,1.0,subject_level_split,train
sisfall_F05_SA01_R01,sisfall_SA01,SisFall,F05,F05,fall,50.0,2.5,8.182,80.2378,281.9156,1.10676,5.650404,21.8311,0.84,1.0,subject_level_split,train
sisfall_F05_SA01_R02,sisfall_SA01,SisFall,F05,F05,fall,50.0,2.5,6.5715,64.4448,221.6088,0.931032,6.324164,20.5124,0.98,1.0,subject_level_split,train
sisfall_F05_SA01_R03,sisfall_SA01,SisFall,F05,F05,fall,50.0,2.5,6.5257,63.9948,175.6876,0.902088,5.454768,17.3755,1.04,1.0,subject_level_split,train
sisfall_F05_SA01_R04,sisfall_SA01,SisFall,F05,F05,fall,50.0,2.5,6.8864,67.5328,137.1398,0.817641,4.78764,19.0552,0.98,1.0,subject_level_split,train
sisfall_F05_SA01_R05,sisfall_SA01,SisFall,F05,F05,fall,50.0,2.5,10.5073,103.0417,418.514,2.3018,50.133018,20.8649,0.88,1.0,subject_level_split,train
sisfall_F06_SA01_R01,sisfall_SA01,SisFall,F06,F06,fall,50.0,2.5,4.2494,41.6727,104.1803,0.326736,1.53222,16.3124,1.04,1.0,subject_level_split,train
sisfall_F06_SA01_R02,sisfall_SA01,SisFall,F06,F06,fall,50.0,2.5,5.8204,57.0783,156.457,0.48674,1.91637,15.4749,1.1,1.0,subject_level_split,train
sisfall_F06_SA01_R03,sisfall_SA01,SisFall,F06,F06,fall,50.0,2.5,4.6194,45.3008,83.724,0.421224,2.481385,16.6851,0.98,1.0,subject_level_split,train
sisfall_F06_SA01_R04,sisfall_SA01,SisFall,F06,F06,fall,50.0,2.5,5.9452,58.3022,86.993,0.629841,3.005662,15.876,0.96,1.0,subject_level_split,train
sisfall_F06_SA01_R05,sisfall_SA01,SisFall,F06,F06,fall,50.0,2.5,5.2266,51.2554,110.9263,0.444592,2.313588,15.6183,1.08,1.0,subject_level_split,train
sisfall_F07_SA01_R01,sisfall_SA01,SisFall,F07,F07,fall,50.0,2.5,6.4734,63.482,241.1062,0.393974,2.009083,16.5959,1.08,1.0,subject_level_split,train
sisfall_F07_SA01_R02,sisfall_SA01,SisFall,F07,F07,fall,50.0,2.5,6.7411,66.1073,180.5384,0.411194,2.269125,15.884,1.0,1.0,subject_level_split,train
sisfall_F07_SA01_R03,sisfall_SA01,SisFall,F07,F07,fall,50.0,2.5,3.2984,32.3458,41.0852,0.21613,2.139198,15.5739,1.04,1.0,subject_level_split,train
sisfall_F07_SA01_R04,sisfall_SA01,SisFall,F07,F07,fall,50.0,2.5,4.0513,39.7296,75.5237,0.286725,1.451762,15.6327,1.06,1.0,subject_level_split,train
sisfall_F07_SA01_R05,sisfall_SA01,SisFall,F07,F07,fall,50.0,2.5,2.7742,27.2056,37.3385,0.130461,1.519501,15.5656,1.0,0.0,subject_level_split,train
sisfall_F08_SA01_R01,sisfall_SA01,SisFall,F08,F08,fall,50.0,2.5,5.277,51.7492,190.267,0.364186,2.080226,15.8236,1.12,1.0,subject_level_split,train
sisfall_F08_SA01_R02,sisfall_SA01,SisFall,F08,F08,fall,50.0,2.5,4.581,44.9246,95.3685,0.218039,2.396604,16.5306,1.08,1.0,subject_level_split,train
sisfall_F08_SA01_R03,sisfall_SA01,SisFall,F08,F08,fall,50.0,2.5,3.4631,33.961,94.9977,0.145045,1.57155,16.2383,1.14,1.0,subject_level_split,train
sisfall_F08_SA01_R04,sisfall_SA01,SisFall,F08,F08,fall,50.0,2.5,3.8312,37.5715,65.8814,0.179339,2.222548,15.4945,1.08,1.0,subject_level_split,train
sisfall_F08_SA01_R05,sisfall_SA01,SisFall,F08,F08,fall,50.0,2.5,2.3315,22.8641,45.679,0.087119,1.877793,14.1734,1.14,0.0,subject_level_split,train
sisfall_F09_SA01_R01,sisfall_SA01,SisFall,F09,F09,fall,50.0,2.5,4.3221,42.3856,123.4713,0.16989,1.796225,15.7332,1.12,1.0,subject_level_split,train
sisfall_F09_SA01_R02,sisfall_SA01,SisFall,F09,F09,fall,50.0,2.5,6.1842,60.6465,210.8587,0.295948,1.956704,15.4026,1.04,1.0,subject_level_split,train
sisfall_F09_SA01_R03,sisfall_SA01,SisFall,F09,F09,fall,50.0,2.5,3.2211,31.5884,128.3104,0.100779,1.80934,14.7541,1.16,1.0,subject_level_split,train
sisfall_F09_SA01_R04,sisfall_SA01,SisFall,F09,F09,fall,50.0,2.5,4.9479,48.5223,183.1835,0.310166,2.875443,14.9579,1.1,1.0,subject_level_split,train
sisfall_F09_SA01_R05,sisfall_SA01,SisFall,F09,F09,fall,50.0,2.5,4.2428,41.6076,116.3794,0.151973,2.011004,14.1302,1.16,1.0,subject_level_split,train
sisfall_F10_SA01_R01,sisfall_SA01,SisFall,F10,F10,fall,50.0,2.5,2.6733,26.2166,32.5591,0.122815,1.401867,14.2641,1.12,0.0,subject_level_split,train
sisfall_F10_SA01_R02,sisfall_SA01,SisFall,F10,F10,fall,50.0,2.5,3.0235,29.6507,65.3119,0.091218,2.600835,14.0312,1.2,1.0,subject_level_split,train
sisfall_F10_SA01_R03,sisfall_SA01,SisFall,F10,F10,fall,50.0,2.5,6.4086,62.8464,254.953,0.442798,2.09287,13.9846,1.14,1.0,subject_level_split,train
sisfall_F10_SA01_R04,sisfall_SA01,SisFall,F10,F10,fall,50.0,2.5,3.8411,37.6679,102.7551,0.155816,2.558939,14.7259,1.14,1.0,subject_level_split,train
sisfall_F10_SA01_R05,sisfall_SA01,SisFall,F10,F10,fall,50.0,2.5,2.0141,19.7519,22.6912,0.059012,1.174381,17.0381,1.04,0.0,subject_level_split,train
sisfall_F11_SA01_R01,sisfall_SA01,SisFall,F11,F11,fall,50.0,2.5,3.7212,36.4929,87.7273,0.164246,1.193284,13.2347,1.16,1.0,subject_level_split,train
sisfall_F11_SA01_R02,sisfall_SA01,SisFall,F11,F11,fall,50.0,2.5,3.8732,37.9829,86.4274,0.184412,0.890904,15.1442,1.2,1.0,subject_level_split,train
sisfall_F11_SA01_R03,sisfall_SA01,SisFall,F11,F11,fall,50.0,2.5,2.9508,28.9374,40.207,0.097234,0.78559,14.4737,1.2,0.0,subject_level_split,train
sisfall_F11_SA01_R04,sisfall_SA01,SisFall,F11,F11,fall,50.0,2.5,2.7791,27.2534,53.6091,0.149291,2.249423,13.5693,1.08,0.0,subject_level_split,train
sisfall_F11_SA01_R05,sisfall_SA01,SisFall,F11,F11,fall,50.0,2.5,4.7634,46.7127,159.824,0.26523,1.533118,13.7814,1.2,1.0,subject_level_split,train
sisfall_F12_SA01_R01,sisfall_SA01,SisFall,F12,F12,fall,50.0,2.5,6.6771,65.4801,299.2759,0.376522,1.392615,14.1777,1.14,1.0,subject_level_split,train
sisfall_F12_SA01_R02,sisfall_SA01,SisFall,F12,F12,fall,50.0,2.5,3.9481,38.718,83.0828,0.146612,1.576029,14.4038,1.16,1.0,subject_level_split,train
sisfall_F12_SA01_R03,sisfall_SA01,SisFall,F12,F12,fall,50.0,2.5,6.2385,61.1786,200.2746,0.338354,1.563709,13.8743,1.1,1.0,subject_level_split,train
sisfall_F12_SA01_R04,sisfall_SA01,SisFall,F12,F12,fall,50.0,2.5,6.2862,61.6462,197.0524,0.315234,1.708279,14.8604,1.06,1.0,subject_level_split,train
sisfall_F12_SA01_R05,sisfall_SA01,SisFall,F12,F12,fall,50.0,2.5,4.9567,48.6083,178.2228,0.278356,1.3798,15.1546,1.08,1.0,subject_level_split,train
sisfall_F13_SA01_R01,sisfall_SA01,SisFall,F13,F13,fall,50.0,2.5,3.5309,34.6262,74.4687,0.189494,1.16822,14.7798,1.2,1.0,subject_level_split,train
sisfall_F13_SA01_R02,sisfall_SA01,SisFall,F13,F13,fall,50.0,2.5,2.075,20.3489,26.1346,0.044249,1.982419,16.2898,0.88,0.0,subject_level_split,train
sisfall_F13_SA01_R03,sisfall_SA01,SisFall,F13,F13,fall,50.0,2.5,2.9404,28.8352,50.0352,0.105656,1.897805,16.0759,0.76,0.0,subject_level_split,train
sisfall_F13_SA01_R04,sisfall_SA01,SisFall,F13,F13,fall,50.0,2.5,2.9181,28.6168,35.2889,0.141946,1.59585,16.4853,0.86,0.0,subject_level_split,train
sisfall_F13_SA01_R05,sisfall_SA01,SisFall,F13,F13,fall,50.0,2.5,3.5008,34.3313,79.3588,0.177716,1.845692,17.8009,0.96,1.0,subject_level_split,train
sisfall_F14_SA01_R01,sisfall_SA01,SisFall,F14,F14,fall,50.0,2.5,6.1273,60.0883,218.4808,0.302388,0.88235,13.3481,1.18,1.0,subject_level_split,train
sisfall_F14_SA01_R02,sisfall_SA01,SisFall,F14,F14,fall,50.0,2.5,6.1785,60.5908,204.3019,0.470805,0.301981,13.1483,1.14,1.0,subject_level_split,train
