sample_id,split,kind,class,empty_mask,pixel_sha256,image_path,mask_path
public_public_sample_0052,train,positive,swelling,False,b39ec6e090d8bd12428cd30b07e30e67d21bb660c98ec958266f0289ccbcd4a9,data/datasets/unet_processed/images/train/public_public_sample_0052.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0052.png
public_public_sample_0058,train,positive,swelling,False,7fc9ed780a1833a69fa03e5f5fb13637103de17342f6381e51be511f0a204fca,data/datasets/unet_processed/images/train/public_public_sample_0058.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0058.png
public_public_sample_0070,train,positive,swelling,False,b2485aa8cf010f76376e4f31bb4a949132360b035da8905422ce5b2d8d090fb8,data/datasets/unet_processed/images/train/public_public_sample_0070.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0070.png
public_public_sample_0076,train,positive,swelling,False,4fb04c99ce7741f91b21efe8b63da137dd870cbc5c44e75d6c53b66d9306b82b,data/datasets/unet_processed/images/train/public_public_sample_0076.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0076.png
public_public_sample_0082,train,positive,swelling,False,817ad8d81a40f63db41838a30def329901d6e3d25dba617ec03320b461133896,data/datasets/unet_processed/images/train/public_public_sample_0082.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0082.png
public_public_sample_0088,train,positive,swelling,False,925eb431aade9a95f67110009c46f6dd5bc124201a6228c50bcfab8097a2ef0c,data/datasets/unet_processed/images/train/public_public_sample_0088.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0088.png
public_public_sample_0100,train,positive,swelling,False,00fa9706cfee1721b07296d8da3d9c2a60009b52939d7377d2f2ba78fbb3ee9a,data/datasets/unet_processed/images/train/public_public_sample_0100.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0100.png
public_public_sample_0106,train,positive,swelling,False,2b647524841d8300b285e590a4c1a90e83c7783f7d6ecef06ce304fa75c5b60d,data/datasets/unet_processed/images/train/public_public_sample_0106.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0106.png
public_public_sample_0118,train,positive,swelling,False,39f215a4e22c440b29900053875ad2c632e6226e16ebb15a1c45c379c8725093,data/datasets/unet_processed/images/train/public_public_sample_0118.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0118.png
public_public_sample_0136,train,positive,swelling,False,4d72cd2fb354f5c8f358549f3623689bdb62d2f71f8f2977849b3b4976e021ff,data/datasets/unet_processed/images/train/public_public_sample_0136.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0136.png
public_public_sample_0142,train,positive,swelling,False,59631ea7d32ca9aae79bc2eeeebe47ada71b96855ec9c4de86f4f3fe9879c775,data/datasets/unet_processed/images/train/public_public_sample_0142.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0142.png
public_public_sample_0148,train,positive,swelling,False,90c45e5ddd5378073c04149cd74ddce2846d9c7edf6d356c3b910443bd303515,data/datasets/unet_processed/images/train/public_public_sample_0148.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0148.png
public_public_sample_0166,train,positive,swelling,False,b3f993571eda20feb952cdb0e7473678d3b2f6f29d6a5767563e25a0077fdc66,data/datasets/unet_processed/images/train/public_public_sample_0166.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0166.png
public_public_sample_0172,train,positive,swelling,False,078527c8d5bdd44da5742903f9d8495e5d1a1739ddca64589963180ce9fd5fe5,data/datasets/unet_processed/images/train/public_public_sample_0172.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0172.png
public_public_sample_0178,train,positive,swelling,False,17322c159a91ccb9de76b4ab1bc3b4219f685fcc84837bcea3dffd9d4aa07b2d,data/datasets/unet_processed/images/train/public_public_sample_0178.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0178.png
public_public_sample_0184,train,positive,swelling,False,7503dfb3a03fddfbca3fc3a54ca99fa9b71b9afde9815a840f9931902d6b1e63,data/datasets/unet_processed/images/train/public_public_sample_0184.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0184.png
public_public_sample_0190,train,positive,swelling,False,2864b70ecbab7e09306ff0f2ac7683760904113cae4b42a30bc2d7c6a0512497,data/datasets/unet_processed/images/train/public_public_sample_0190.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0190.png
public_public_sample_0002,val,positive,bruise,False,b5b1eaa164eed94f775a3402658434e6e6c0fa5b4e2f38aa2cfbd8d81f00a88c,data/datasets/unet_processed/images/val/public_public_sample_0002.jpg,data/datasets/unet_processed/masks/val/public_public_sample_0002.png
public_public_sample_0064,val,positive,swelling,False,db208877393c73626bb06d39075d0282e5a50122c55ba421f74055e7071921ea,data/datasets/unet_processed/images/val/public_public_sample_0064.jpg,data/datasets/unet_processed/masks/val/public_public_sample_0064.png
public_public_sample_0094,val,positive,swelling,False,dfa4ac7443345291bbefdbd78b037b115e371b421df10145f1fcd506636e1a8b,data/datasets/unet_processed/images/val/public_public_sample_0094.jpg,data/datasets/unet_processed/masks/val/public_public_sample_0094.png
public_public_sample_0112,val,positive,swelling,False,c76bdb80c6e6c18c3a6b123935fbf908e00276f726e938cc886034d18a220cbe,data/datasets/unet_processed/images/val/public_public_sample_0112.jpg,data/datasets/unet_processed/masks/val/public_public_sample_0112.png
public_public_sample_0130,val,positive,swelling,False,bce6d57c3ab6e040b578dae5eb462e78a53ee467b54c87c3cd27d8c8e0e14522,data/datasets/unet_processed/images/val/public_public_sample_0130.jpg,data/datasets/unet_processed/masks/val/public_public_sample_0130.png
public_public_sample_0196,val,positive,swelling,False,bca0d541b31831e6cd28e939eab852d4929c24002d8c28e59638303e82a5572b,data/datasets/unet_processed/images/val/public_public_sample_0196.jpg,data/datasets/unet_processed/masks/val/public_public_sample_0196.png
